,vin,gain,gain_std,vin_range,vin_range_std,vout_range,vout_range_std,device_preference
0,0.05,5.71943831907632,0.357050368265043,0.1858568134167344,0.012291131949403289,1.0587209907933546,0.01559209722897907,False
1,0.05306122448979592,5.646992053557002,0.48205370614221876,0.198520403910059,0.017553035064446925,1.1130520263819181,0.030039589262522832,False
2,0.056122448979591844,6.087449603961252,0.3726021749079942,0.1947958184708459,0.01471564805889684,1.1805987192758074,0.029651266204371002,False
3,0.05918367346938776,6.516017571287664,0.28604118374164234,0.18995385739986886,0.008328426230086443,1.235663958048,0.026020227121476735,False
4,0.06224489795918368,6.669360620202613,0.2776073614810845,0.19442335992692458,0.01063954413605332,1.2940331111465242,0.03213973912205586,False
5,0.0653061224489796,6.5881660599424645,0.4907205234099907,0.20894924313985577,0.017974742824397278,1.367820531101262,0.005243259487896536,False
6,0.06836734693877551,6.524754657454824,0.2837565950123521,0.2149085798425967,0.00799702408145257,1.4004925727727628,0.0399534052347659,False
7,0.07142857142857142,6.674636652001411,0.2965628742700034,0.2231026678088656,0.01059381054457963,1.4860272436655686,0.011585530820725215,False
8,0.07448979591836735,6.965933774449004,0.21882060773867984,0.22012299945749508,0.008566546510190159,1.5319149426423957,0.036895079734000434,False
9,0.07755102040816328,6.857463912563875,0.28493202354503055,0.23241413140689837,0.009451938230296962,1.5913854005163635,0.029834768934888893,False
10,0.08061224489795919,7.181557587142012,0.21221362004189048,0.23241413140689832,0.0064940366144452056,1.6677425316138037,0.009294269952767647,False
11,0.0836734693877551,7.256350197812017,0.1603794490869974,0.23613871684611146,0.007106056118984281,1.712528925815187,0.027434550973382644,False
12,0.08673469387755103,7.017330810663893,0.21812036768951043,0.24954722442727867,0.012353052401490965,1.7488719834048339,0.05084588964731412,False
13,0.08979591836734695,7.367986718044018,0.2660133689891926,0.2506646000590426,0.009719669484407825,1.8443183972766346,0.0070038519866905255,False
14,0.09285714285714286,7.335248013883438,0.1264083496644948,0.255879019673941,0.005782111502949073,1.8762562357645063,0.017253774815287014,False
15,0.09591836734693879,7.366231779354905,0.26910354846207923,0.2569963953057049,0.009422538662249647,1.890573197845276,0.007873451988035525,False
16,0.0989795918367347,7.192377741159801,0.14416824507411719,0.2696599857990295,0.0058179884439001715,1.938663506372991,0.006020913773983938,False
17,0.10204081632653061,7.3313310060049615,0.3287236734993429,0.27897144939706225,0.01085254977100064,2.041819053672898,0.028896282350929944,False
18,0.10510204081632654,7.487613544553618,0.21456993255209184,0.2841858690119606,0.011179962236650215,2.125885318198445,0.04705348908075799,False
19,0.10816326530612246,7.56427331412584,0.4823099874553178,0.2912625813464656,0.018903876460593935,2.1949004174595936,0.06559623697074242,False
20,0.11122448979591837,7.769021397356572,0.2635634746478366,0.2890278300829377,0.00852596576796738,2.244459132354567,0.07502177084928381,False
21,0.1142857142857143,7.830983053363393,0.23931749285790405,0.30094650348841967,0.009092871861861366,2.3545896098989516,0.01675849927760622,False
22,0.11734693877551021,7.686995975627317,0.3650290353689913,0.3150999281574295,0.015464880620442297,2.4166297789156217,0.02373702851239655,False
23,0.12040816326530614,7.826423540944036,0.304144201439477,0.3150999281574295,0.015731689503067702,2.461416173117005,0.03697534997862243,False
24,0.12346938775510205,7.731545666423858,0.38037057705101085,0.32366647466761966,0.01677718002291287,2.4966579259312085,0.05826285080733143,False
25,0.12653061224489798,7.7089844457297385,0.5055568177045568,0.33707498224878685,0.022363026356435754,2.587332019109419,0.033476766877580354,False
26,0.12959183673469388,7.845484371578591,0.1827706010142083,0.34079956768799996,0.00885323852164227,2.672132486818595,0.009774833876204574,False
27,0.1326530612244898,7.832527175482357,0.40034300418899466,0.346758904390741,0.021295380356471813,2.708475544408242,0.07619104879599486,False
28,0.13571428571428573,7.884193151619724,0.2606046790188532,0.35346315818132457,0.011947736295267112,2.783731370730239,0.020243913724023347,False
29,0.13877551020408163,7.926050808017587,0.39737672673632773,0.3568152850766164,0.020924083207218138,2.8204415299117005,0.059444392480948155,False
30,0.14183673469387756,8.033290364021,0.23401696737396482,0.36202970469151474,0.013199964427096745,2.9052419976208763,0.029285413005939027,False
31,0.14489795918367349,8.018264583031955,0.30868786544808224,0.3672441243064131,0.014916953059245496,2.9404837504350803,0.05121034311300391,False
32,0.14795918367346939,8.139814581071459,0.2345409649020339,0.3664992072185705,0.01625217212109596,2.979763620759244,0.06318094621840209,False
33,0.1510204081632653,8.022025615464688,0.32245551884831114,0.3799077147997377,0.021135176402073082,3.0418037897759147,0.08753968322952797,False
34,0.15408163265306124,8.306071087026853,0.17741672529603186,0.373203461009154,0.014972648161731881,3.0979703333235507,0.09015240800218145,False
35,0.15714285714285714,8.083908202975156,0.269074747479038,0.3925713052930623,0.017564885882764027,3.169555143727401,0.0791987121587829,False
36,0.1602040816326531,8.169990523761603,0.27868098256644597,0.400765393259331,0.013552578567510251,3.2705080814764207,0.013877217083429377,False
37,0.163265306122449,8.342312222466356,0.27939469129468814,0.39778572490796066,0.019195170605977856,3.3134589677187307,0.07101684426774245,False
38,0.1663265306122449,8.278146568587285,0.24396640941840222,0.4104493154012852,0.014972648161731897,3.394221317917946,0.038857317662166234,False
39,0.16938775510204085,8.34264774870177,0.2851326322167955,0.4149188179283409,0.016080549865478147,3.4569956901182457,0.030185038606525168,False
40,0.17244897959183675,8.428938191597044,0.13152048751058237,0.41529127647226227,0.01335148293328792,3.4992123731769262,0.08407828664381775,False
41,0.17551020408163265,8.282184777502938,0.2465793388369143,0.4279548669655869,0.0195283392462855,3.5406948530519777,0.10421095427340181,False
42,0.1785714285714286,8.20252417898835,0.24625823834629612,0.4387561647393049,0.013613856552491583,3.5964942950078003,0.07994137643386501,False
43,0.1816326530612245,8.440581245184676,0.3006770147513732,0.43577649638793436,0.021653908198224738,3.672117222921611,0.07780562138662493,False
44,0.1846938775510204,8.437191761762652,0.1494603976846212,0.4450879599859672,0.007678429588756601,3.7543479794880854,0.039709805269212355,False
45,0.18775510204081636,8.468723363960473,0.324076506107489,0.44769516979341634,0.011988305974983402,3.7884884275268447,0.10054831512778406,False
46,0.19081632653061226,8.409439573161412,0.2117660292190891,0.45924138465497705,0.016153712118708478,3.859339034747065,0.0886388820018418,False
47,0.19387755102040816,8.559416963150083,0.0924679128313368,0.4618485944624262,0.006662740984069144,3.9525828390679782,0.023680186887439593,False
48,0.1969387755102041,8.562975482863447,0.2007095837509341,0.4663180969894819,0.014501988011338817,3.990394303024883,0.052278153910558976,False
49,0.2,8.636225353145011,0.11536646373496268,0.46706301407732453,0.012375492115537947,4.03297808767538,0.09333625652613184,False
